GRUPO A;;;;;;;;
Posição;Equipe;Pts;V;E;D;GP;GC;SG
1;México;9;3;0;0;6;0;6
2;África do Sul;4;1;1;1;2;3;-1
3;Coreia do Sul;3;1;0;2;2;3;-1
4;Tchéquia;1;0;1;2;2;6;-4
GRUPO B;;;;;;;;
;;;;;;;;
Posição;Equipe;Pts;V;E;D;GP;GC;SG
1;Suíça;7;2;1;0;7;3;4
2;Canadá;4;1;1;1;8;3;5
3;Bósnia e Herzegovina;4;1;1;1;5;6;-1
4;Catar;1;0;1;2;2;10;-8
GRUPO C;;;;;;;;
;;;;;;;;
Posição;Equipe;Pts;V;E;D;GP;GC;SG
1;Brasil;7;2;1;0;7;1;6
2;Marrocos;7;2;1;0;6;3;3
3;Escócia;3;1;0;2;1;4;-3
4;Haiti;0;0;0;3;2;8;-6
GRUPO D;;;;;;;;
;;;;;;;;
Posição;Equipe;Pts;V;E;D;GP;GC;SG
1;Estados Unidos;6;2;0;1;8;4;4
2;Austrália;4;1;1;1;2;2;0
3;Paraguai;4;1;1;1;2;4;-2
4;Turquia;3;1;0;2;3;5;-2
GRUPO E;;;;;;;;
;;;;;;;;
Posição;Equipe;Pts;V;E;D;GP;GC;SG
1;Alemanha;6;2;0;1;10;4;6
2;Costa do Marfim;4;2;0;1;4;2;2
3;Equador;4;1;1;1;2;2;0
4;Curação;1;0;1;2;1;9;-8
GRUPO F;;;;;;;;
;;;;;;;;
Posição;Equipe;Pts;V;E;D;GP;GC;SG
1;Países Baixos;7;2;1;0;10;4;6
2;Japão;5;1;2;0;7;2;5
3;Suécia;4;1;1;1;7;7;0
4;Tunísia;0;0;0;3;2;12;-10
GRUPO G;;;;;;;;
;;;;;;;;
Posição;Equipe;Pts;V;E;D;GP;GC;SG
1;Egito;7;2;1;0;10;4;6
2;Irã;5;1;2;0;7;2;5
3;Bélgica;4;1;1;1;7;7;0
4;Nova Zelândia;0;0;0;3;2;12;-10
