,BOLÃO THDFM COPA DO MUNDO 2026,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,DATAS,JOGOS,,,,,,,,,,,,,,,,,
,28 DE JUNHO,JOGO 73,,,,,,,,,,PONTUAÇÃO PARTICIPANTES DÉCIMAS-SEXTAS,,,,,,,
,Jogo 73,África do Sul,x,Canadá,Pênaltis,Acertou,Vencedor,,,,,,,Placar,Vencedor,Gols casa,Gols fora,,Soma dos pontos
,PLACAR,0,x,1,,--,Canadá,,,x,,,Ramos,10,42,5,10,,67
,Ramos,1,x,2,,Nada,Acertou,,,x,,,Juan,30,84,30,10,,154
,Gui,1,x,2,,Nada,Acertou,,,x,,,Xonha,70,84,15,10,,179
,Juan,0,x,3,,Gols Casa,Acertou,,,x,,,Lucas Copini,0,84,30,5,,119
,Jose Carlos ,1,x,3,,Nada,Acertou,,,x,,,Mazeta,30,77,15,20,,142
,Diego Campos,1,x,1,Canadá,Gols fora,Acertou,,,x,,,Rodrigo (DDD 95),50,70,15,20,,155
,Til ponto,1,x,2,,Nada,Acertou,,,x,,,Gui,10,70,15,20,,115
,Xonha,0,x,2,,Gols Casa,Acertou,,,x,,,Benevides ,30,98,20,20,,168
,Ayrton,0,x,2,,Gols Casa,Acertou,,,x,,,JV JEC,30,77,15,20,,142
,Rodrigo (DDD 95),0,x,1,,Placar,Acertou,,,x,,,Matheus Honorato ,10,70,25,15,,120
,Mazeta,1,x,2,,Nada,Acertou,,,x,,,Emboava,20,84,25,10,,139
,Alisson Ottoni ,0,x,2,,Gols Casa,Acertou,,,x,,,Alisson Ottoni ,20,91,15,30,,156
,JV JEC,1,x,1,África do Sul,Gols fora,Errou,,,x,,,Diego Campos,10,91,20,25,,146
,Marlon Wietzikoski,0,x,3,,Gols Casa,Acertou,,,x,,,Ayrton,0,91,15,25,,131
,Matheus Honorato ,0,x,0,Canadá,Gols Casa,Acertou,,,x,,,Pylegend,40,84,25,5,,154
,Gabs,0,x,2,,Gols Casa,Acertou,,,x,,,Hotel Plus Antonio Menezes,20,91,10,20,,141
,Emboava,1,x,3,,Nada,Acertou,,,x,,,Haron Bonamigo,50,91,5,15,,161
,Arthur SK,1,x,0,,Nada,Errou,,,x,,,Meta AI,10,84,20,25,,139
,Rodri,2,x,1,,Gols fora,Errou,,,x,,,Rodri,10,84,35,20,,149
,Benevides ,1,x,1,Canadá,Gols fora,Acertou,,,x,,,Marlon Wietzikoski,10,91,20,15,,136
,Hotel Plus Antonio Menezes,1,x,2,,Nada,Acertou,,,x,,,André Galinha,30,84,20,25,,159
,André Galinha,1,x,2,,Nada,Acertou,,,x,,,Jose Carlos ,30,105,15,15,,165
,Meta AI,1,x,1,África do Sul,Gols fora,Errou,,,x,,,Arthur SK,40,84,20,10,,154
,Lucas Copini,1,x,2,,Nada,Acertou,,,x,,,Til ponto,50,91,10,15,,166
,Pylegend,1,x,0,,Nada,Errou,,,x,,,Gabs,10,98,55,10,,173
,Haron Bonamigo,1,x,2,,Nada,Acertou,,,x,,,,,,,,,
,,,x,,,,,,,,,,"Placar vale 10, Vencedor vale 7, Gols Casa/Fora vale 5",,,,,,
,,,x,,,,,,,,,,,,,,,,
,,,x,,,,,,,,,,,,,,,,
,,,x,,,,,,,,,,,,,,,,
,29 DE JUNHO,"JOGOS 74, 75 e 76",,,,,,,,,,,,,,,,,
,Jogo 74,Alemanha,x,Paraguai,Pênaltis,Acertou,Vencedor,,,,,PONTUAÇÃO PARCIAL - 32 AVOS,,,,,,,
,PLACAR,1,x,1,Paraguai,--,Paraguai,,,x,,,,Placar,Vencedor,Gols casa,Gols fora,,Soma dos pontos
,Ramos,3,x,0,,Nada,Errou,,,x,,,Ramos,10,42,5,10,,67
,Gui,3,x,0,,Nada,Errou,,,x,,,Juan,30,84,30,10,,154
,Juan,2,x,0,,Nada,Errou,,,x,,,Xonha,70,84,15,10,,179
,Jose Carlos ,2,x,0,,Nada,Errou,,,x,,,Lucas Copini,0,84,30,5,,119
,Diego Campos,2,x,0,,Nada,Errou,,,x,,,Mazeta,30,77,15,20,,142
,Til ponto,2,x,1,,Gols fora,Errou,,,x,,,Rodrigo (DDD 95),50,70,15,20,,155
,Xonha,3,x,0,,Nada,Errou,,,x,,,Gui,10,70,15,20,,115
,Ayrton,2,x,0,,Nada,Errou,,,x,,,Benevides ,30,98,20,20,,168
,Rodrigo (DDD 95),2,x,0,,Nada,Errou,,,x,,,JV JEC,30,77,15,20,,142
,Mazeta,2,x,0,,Nada,Errou,,,x,,,Matheus Honorato ,10,70,25,15,,120
,Alisson Ottoni ,3,x,0,,Nada,Errou,,,x,,,Emboava,20,84,25,10,,139
,JV JEC,4,x,0,,Nada,Errou,,,x,,,Alisson Ottoni ,20,91,15,30,,156
,Marlon Wietzikoski,4,x,0,,Nada,Errou,,,x,,,Diego Campos,10,91,20,25,,146
,Matheus Honorato ,2,x,0,,Nada,Errou,,,x,,,Ayrton,0,91,15,25,,131
,Gabs,2,x,1,,Gols fora,Errou,,,x,,,Pylegend,40,84,25,5,,154
,Emboava,4,x,0,,Nada,Errou,,,x,,,Hotel Plus Antonio Menezes,20,91,10,20,,141
,Arthur SK,3,x,0,,Nada,Errou,,,x,,,Haron Bonamigo,50,91,5,15,,161
,Rodri,3,x,1,,Gols fora,Errou,,,x,,,Meta AI,10,84,20,25,,139
,Benevides ,2,x,0,,Nada,Errou,,,x,,,Rodri,10,84,35,20,,149
,Hotel Plus Antonio Menezes,1,x,1,Alemanha,Placar,Errou,,,x,,,Marlon Wietzikoski,10,91,20,15,,136
,André Galinha,3,x,1,,Gols fora,Errou,,,x,,,André Galinha,30,84,20,25,,159
,Meta AI,1,x,2,,Gols Casa,Acertou,,,x,,,Jose Carlos ,30,105,15,15,,165
,Lucas Copini,3,x,0,,Nada,Errou,,,x,,,Arthur SK,40,84,20,10,,154
,Pylegend,2,x,0,,Nada,Errou,,,x,,,Til ponto,50,91,10,15,,166
,Haron Bonamigo,3,x,0,,Nada,Errou,,,x,,,Gabs,10,98,55,10,,173
,,,x,,,,,,,,,,,,,,,,
,,,x,,,,,,,,,,"Placar vale 10, Vencedor vale 7, Gols Casa/Fora vale 5",,,,,,
,,,x,,,,,,,,,,,,,,,,
,,,x,,,,,,,,,,,,,,,,
,Jogo 75,Holanda,x,Marrocos,Pênaltis,Acertou,Vencedor,,,,,,,,,,,,
,PLACAR,1,x,1,Marrocos,--,Marrocos,,,x,,,,,,,,,
,Ramos,1,x,1,Holanda,Placar,Errou,,,x,,,,,,,,,
,Gui,2,x,2,Holanda,Nada,Errou,,,x,,,,,,,,,
,Juan,3,x,1,,Gols fora,Errou,,,x,,,,,,,,,
,Jose Carlos ,1,x,1,Marrocos,Placar,Acertou,,,x,,,,,,,,,
,Diego Campos,2,x,1,,Gols fora,Errou,,,x,,,,,,,,,
,Til ponto,3,x,2,,Nada,Errou,,,x,,,,,,,,,
,Xonha,2,x,1,,Gols fora,Errou,,,x,,,,,,,,,
,Ayrton,2,x,1,,Gols fora,Errou,,,x,,,,,,,,,
,Rodrigo (DDD 95),1,x,1,Holanda,Placar,Errou,,,x,,,,,,,,,
,Mazeta,2,x,1,,Gols fora,Errou,,,x,,,,,,,,,
,Alisson Ottoni ,2,x,1,,Gols fora,Errou,,,x,,,,,,,,,
,JV JEC,3,x,2,,Nada,Errou,,,x,,,,,,,,,
,Marlon Wietzikoski,1,x,1,Marrocos,Placar,Acertou,,,x,,,,,,,,,
,Matheus Honorato ,2,x,1,,Gols fora,Errou,,,x,,,,,,,,,
,Gabs,2,x,2,Holanda,Nada,Errou,,,x,,,,,,,,,
,Emboava,2,x,2,Holanda,Nada,Errou,,,x,,,,,,,,,
,Arthur SK,1,x,1,Holanda,Placar,Errou,,,x,,,,,,,,,
,Rodri,2,x,2,Holanda,Nada,Errou,,,x,,,,,,,,,
,Benevides ,2,x,1,,Gols fora,Errou,,,x,,,,,,,,,
,Hotel Plus Antonio Menezes,2,x,0,,Nada,Errou,,,x,,,,,,,,,
,André Galinha,2,x,1,,Gols fora,Errou,,,x,,,,,,,,,
,Meta AI,2,x,0,,Nada,Errou,,,x,,,,,,,,,
,Lucas Copini,2,x,2,Holanda,Nada,Errou,,,x,,,,,,,,,
,Pylegend,1,x,2,,Gols Casa,Acertou,,,x,,,,,,,,,
,Haron Bonamigo,2,x,1,,Gols fora,Errou,,,x,,,,,,,,,
,,,x,,,,,,,,,,,,,,,,
,,,x,,,,,,,,,,,,,,,,
